,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,wpeakf,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope,inv_slope,g,i,workres
81,20191017-1-scan-80,20191017,tmem63a,1,scan-80,6,40,4.88,0.5,327,7.59,40,19.74,0.285953353,-79.99231167,-79.99067694,38.43260408,869.08,311.807621,650.085,373.0422537,700.365,367.9409171,-279.7390234,8.461490252,6.599965091,218.995,41.46131571,0,,,-0.001,-1000,,,
82,20191017-6-scan-80,20191017,tmem63a,6,scan-80,35,40,4.88,0.5,0,6.2,40,21.85,0.306046964,-79.99925288,-79.99838212,81.65851396,472.48,615.2132154,649.845,623.2890439,746.365,591.550266,-261.3953491,-11.72096666,14.3932466,-177.365,83.68719966,0,,,0.01,100,,,
83,20191119-4-scan-80,20191119,tmem63a,4,scan-80,8,40,7.01,0.41,330,10.77,40,14.11,0.235771443,-80.00576956,-80.00434642,362.7711848,662.32,563.0163738,650.205,588.559421,742.005,578.4859739,-339.3361319,20.76942365,8.097304411,12.115,61.2559457,4955,510.2631414,546.1657178,2.239,0.446627959,,,
84,20191119-6-scan-80,20191119,tmem63a,6,scan-80,30,40,7.01,0.41,329,6.409,45,20.17,0.615918172,-80.00639381,-80.00543787,155.7825202,688.2,1688.255216,650.485,1218.419994,746.045,1090.257789,-129.8977648,-2.17999022,8.343922079,37.715,43.89960061,4984,1608.013666,1069.891185,0.853,1.172332943,,,
85,20191119-11-scan-80,20191119,tmem63a,11,scan-80,18,40,7.01,0.41,347,6.841,5,23.43,0.411377385,-80.00952723,-80.006854,237.6222967,681.44,1663.633446,650.205,1069.91622,730.405,986.1043824,-194.4917978,2.363598016,4.138286963,31.235,23.05503283,4896,1361.545018,804.7765805,0.325,3.076923077,,,
86,20201120-4-scan-80,20191120,tmem63a,4,scan-80,3,40,4.48,0.26,336,7.973,50,13.49,4.51539132,-80.00603183,-80.00465862,300.3359559,685.4,245.4322062,650.325,269.9478665,749.005,264.9960483,-17.71851566,1.498800702,3.458477046,35.075,18.79118593,4756,139.0616992,196.7230104,2.567,0.389559797,,,
87,20191007-2-scan-80,20191007,tmem63b,2,scan-80,9,40,3.92,0.5,325,8,50,21.35,1.131047492,-80.01153727,-80.00944399,37.63117521,451.64,881.9466677,650.165,845.0088229,817.085,699.9028344,-70.74109429,-17.3734407,7.704758656,-198.525,55.89723398,0,,,0.028,35.71428571,,,
88,20191008-3-scan-80,20191008,tmem63b,3,scan-80,9,40,5.25,0.5,323,10,40,25.66,0.448635763,-80.00372229,-80.00114947,25.26803624,785.4,1186.225437,649.965,1610.448254,741.365,1507.368455,-178.3266714,4.025310692,5.345881963,135.435,30.75472051,0,,,-0.001,-1000,,,
89,20191008-4-scan-80,20191008,tmem63b,4,scan-80,7,40,5.25,0.5,321,8,40,21.14,0.180906128,-79.99890331,-79.99739055,33.08828479,462.68,1314.152756,650.325,1276.537526,719.125,1160.850863,-442.2122364,-3.454484835,7.097268757,-187.645,38.94082862,0,,,0.01,100,,,
90,20191216-2-scan-80,20191216,trpa1,2,scan-80,7,40,7.62,0.44,326,13.82,20,22.99,0.825681135,-80.02226101,-80.01976167,161.014346,683.6,866.5855294,650.325,858.5889752,747.805,816.855213,-96.91666389,-15.07696523,7.325570289,33.275,51.70481667,4931,801.960149,735.4346183,0.665,1.503759398,,,
