,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope
84,20191216-6-scan-80,20191216,trpa1,6,scan-80,6,40,7.62,0.44,329,6.618,50,17.03,1.605264445,-80.02580651,-80.02396265,213.3912697,658.52,868.0265408,650.005,558.5613949,796.125,-49.85210178,8.211365078,6.877317823,8.515,42.59795419,4950,716.460798,452.3167701,0.34
85,20191216-7-scan-80,20191216,trpa1,7,scan-80,12,40,7.62,0.44,329,7.21,50,27.25,0.798196951,-80.02574409,-80.0239277,128.2360944,667.48,1114.172268,650.005,759.030945,697.525,-100.258143,3.725504833,5.39361707,17.475,30.69359018,4922,897.98145,604.0856827,0.002
86,20191204-4-scan-80,20191204,trpv4,4,scan-80,12,40,8.42,0.5,324,4.71,60,22.85,3.408041588,-80.01158716,-80.0086598,21.45907523,548,1054.174155,650.205,628.5782631,737.805,-23.4772919,0.705184242,4.109766332,-102.205,21.2540159,2449,17.19733069,14.86635277,-0.004
87,20200120-9-scan-80,20200120,yfp,9,scan-80,1,40,7.59,0.42,318,5.409,65,24.25,1.755567433,-80.0190152,-80.015241,27.83059148,794.52,586.3234135,649.965,623.7842681,803.645,-45.58014331,1.388711471,5.188764709,144.555,27.33253501,8612,-20.75348233,620.2727845,0.148
88,20200120-7-scan-80,20200120,yfp,7,scan-80,16,40,7.59,0.42,337,8.284,65,28.89,2.031508413,-80.0185283,-80.01669211,25.32658048,793.08,528.6458586,650.045,1042.335502,861.485,-39.38872603,4.126725363,4.71045551,143.035,27.67900291,0,,,0.042
89,20191216-5-scan-80,20191216,yfp,5,scan-80,12,40,7.62,0.44,325,7.973,40,28.66,0.410715674,-80.02531972,-80.02223431,63.21239496,692.56,858.3477217,650.245,731.5723808,749.605,-194.8435982,0.948906314,7.717076928,42.315,39.53429095,6026,424.6939356,726.7766742,2.087
90,20191216-4-scan-80,20191216,yfp,4,scan-80,9,40,7.62,0.44,325,8.182,50,20.14,3.368538363,-80.02349702,-80.02239167,106.1155762,658.6,809.7565479,649.805,698.8381391,746.005,-23.75614834,3.041992344,4.945972578,8.795,27.77185524,4936,719.9839084,590.9420731,2.656
91,20191008-5-scan-80,20191008,yfp,5,scan-80,11,40,5.25,0.5,322,6,55,36.06,0.667413572,-80.00383456,-80.00200117,236.6820559,659.72,1240.791698,650.285,1074.481869,747.245,-119.871453,5.604599707,7.737294282,9.435,44.29107112,4974,1178.93255,927.5481815,0.002
92,20191008-2-scan-80,20191008,yfp,2,scan-80,7,40,5.25,0.5,326,5.5,55,24.31,1.010454397,-79.99053892,-79.98979018,22.97685458,752.84,414.4000816,649.805,549.2794881,747.845,-79.16293814,0.0487257,5.57771521,103.035,27.93730175,0,,,4.14
93,20191105-1-scan-80,20191105,mtrek1,1,scan-80,10,40,0.77,0.04,325,3.9,55,25.31,1.14E-06,0.00061941,0.002135996,240.998871,655.4,184.8920006,649.805,195.486737,745.445,540.9813873,-19.66219636,20.29305064,5.595,121.1274496,4958,177.4856421,168.7196765,6.055
94,20191105-2-scan-80,20191105,mtrek1,2,scan-80,8,40,0.77,0.04,323,4.7,50,21.1,4.39E-07,0.000707811,0.000811556,562.5247698,654.48,94.90910554,650.245,111.5807473,749.125,1610.701718,25.15019986,29.93648198,4.235,174.8326098,4448,39.23063187,56.24649585,6.299
95,20191213-5-scan-80,20191213,mtrek1,5,scan-80,2,40,0.63,0.04,324,5.967,50,21.39,-0.000141247,-0.181914658,-0.181186078,746.4089718,658.84,116.6139496,649.805,119.2654853,747.725,1287.914849,32.47227492,26.30456243,9.035,163.9950871,4134,29.89656775,29.53114883,1.014
96,20191217-2-scan-80,20191217,mtrek1,2,scan-80,6,40,0.63,0.04,316,6.374,40,21.47,-0.000442932,-0.191665213,-0.190787391,150.6413562,654.56,238.2598845,650.165,214.5726984,749.925,432.7189483,-30.33530807,10.72159725,4.395,83.94329433,4963,225.2127362,175.45368,7.824
97,20191217-4-scan-80,20191217,mtrek1,4,scan-80,7,40,0.63,0.04,315,6.627,50,21.35,-8.06E-05,-0.192589082,-0.190387753,866.3014768,658.32,121.975218,649.965,124.1405211,749.645,2389.866525,37.573774,24.11559676,8.355,158.1517578,3970,23.94351705,30.72553232,4.08
0,20200227-1-scan-80,20200227,mp1,1,scan-80,11,40,0.63,0.04,328,8.849,40,28.52,0.167226499,-80.00664351,-80.00527733,406.8573654,906.76,291.073248,900.205,307.9717787,1000.085,-478.4328091,0.022958327,11.74408872,6.555,58.74340195,5983,212.3527995,189.905961,1.678
